Cod;Región;Finca;Acal;Achas;Acsc;Adein;Adite;Alal;Alfl;Alyva;Amdu;Ampi;Amvi;Aran;Ascr;Aslo;Axco;Blpy;Boer;Bope;Brdi;Brfa;Cabi;Cabo;Cacl;Calco;Calmo;Calre;Caman;Capbi;Casgr;Caygl;Cecpe;Cepl;Cessc;Chal;Chani;Chepe;Chrde;Cipa;Ciqui;Cive;Clac;Coal;Comer;Corae;Coror;Crhi;Croin;Cyapr;Cyci;Cyco
ACa;Alta;Carparen;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0
ACr;Alta;Crisol;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;1;0;0;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;1;1;0;1;0;0;1;0;1
ALa;Alta;La Fortuna;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0
BBu;Baja;Burdeos;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;1;0;1;0;0;0;0;0
BLa;Baja;La Lola;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1;0
BMa;Baja;Margarita Rosa;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
MCh;Media;Chavela;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0
MFl;Media;Florida;1;1;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;1;0;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0
MJo;Media;Josefina;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;1;1;0;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0
NCa;Norte;Caballos;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0
NDi;Norte;Divas;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1
NDo;Norte;Don Diego;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
