TAXA;A;B;C
Simulium;1586;323;99
Chironominae ;901;451;756
Orthocladinae;473;54;79
Baetodes;346;248;42
Diamesinae;170;37;10
Atopsyche;159;18;1
Leptonema;153;81;12
Tanypodinae;91;16;21
Prebaetodes;78;13;10
Ochrotrichia;74;2;102
Cylloepus;62;6;1
Culoptila;57;130;54
Leptohyphes;57;268;349
Chironomidae;55;13;66
Anacroneuria;52;165;46
Athericidae;52;3;0
Phylloicus;52;71;3
Rhagovelia;51;126;46
Tricorythodes;50;59;302
Phanocerus;47;60;13
Molophilus;43;8;0
Heterelmis;41;288;145
Alluaudomyia;40;17;8
Chelifera;38;12;0
Smicridea;25;96;8
Hydropsychidae;19;24;7
Limonicola;19;4;2
Maruina;18;9;2
Elmidae.M1;16;2;0
Staphylinidae;15;347;12
Progomphus;14;29;6
Anchytarsus;13;4;0
Glossosomatidae;13;0;0
Ptilodactylidae;13;22;1
Protoptila;11;8;2
Ceratopogonidae;9;20;0
Pseudodisersus;9;19;40
Pyralidae;7;5;19
Dixella;6;0;0
Hetaerina;6;1;0
Microcylloepus;6;5;1
Mortoniella;6;5;0
Tipulidae;6;2;0
Lachlania;5;14;0
Hidracarina;4;2;5
Limnophora;4;0;1
Phyllogomphus;4;0;1
Baetidae;3;1;2
Dythemis;3;38;7
Empididae;3;0;0
Pelonomus;3;27;1
Tipula;3;0;1
Corydalus;2;27;3
Curculionidae;2;0;0
Elmidae;2;0;0
Hemerodromia;2;1;0
Hexatoma;2;1;0
Maruina.M1;2;2;0
Maruina.M2;2;1;0
Nectopsyche;2;2;15
Stratiomyidae;2;1;0
Tabanidae;2;0;0
Tabanus;2;0;0
Thraulodes;2;13;33
Berchmorhoga;1;7;1
Cerasmatrichia;1;1;0
Clognia;1;2;0
Disersus;1;0;20
Dixidae;1;0;0
Dolichopodidae;1;0;0
Helicopsyche;1;106;0
Hidrophilidae;1;1;1
Hydroptilidae;1;7;0
Limonia;1;0;0
Metrichia;1;0;0
Narpus;1;0;6
Scarabeidae;1;1;0
Scirtidae;1;0;0
Simuliidae;1;0;0
Stenochironomus;1;2;3
Triplectides;1;0;0
Tropisternus;1;0;0
Xiphocentron;1;1;10
Argia;0;1;15
Baetidae.M1;0;0;6
Camelobaetidius;0;1;69
Chimarra;0;1;5
Dryops;0;47;0
Gerridae;0;1;6
Hebridae;0;2;0
Helichus;0;9;0
Hidraenidae;0;18;0
Hydrophilus;0;1;0
Isotomidae;0;2;1
Lampyridae;0;2;1
Leptophlebiidae.M1;0;0;116
Limnocoris;0;80;2
Limnophilus;0;2;0
Macrelmis;0;0;4
Macrobrachium;0;0;12
Microvellia;0;0;2
Muscidae;0;0;1
Oceetis;0;0;8
Pericoma;0;2;2
Psephenops;0;0;5
Terpides.M1;0;0;2
Wormaldia;0;3;0
